date,origin,dest,pct_incomers,netflow,dest_lat,dest_lon,origin_lat,origin_lon,origin_city,dest_city
2017/1/1,"New York, NY","Albany, NY",23.50%,19,42.6664,-73.7987,40.6943,-73.9249,New York,Albany
2017/1/1,"Boston, MA","Albany, NY",14.90%,19,42.6664,-73.7987,42.3188,-71.0852,Boston,Albany
2017/1/1,"Washington, DC","Albany, NY",10.00%,19,42.6664,-73.7987,38.9047,-77.0163,Washington,Albany
2017/1/1,"San Jose, CA","Albany, NY",5.90%,19,42.6664,-73.7987,37.3012,-121.848,San Jose,Albany
2017/1/1,"San Jose, CA","Albuquerque, NM",14.00%,56,35.1054,-106.6465,37.3012,-121.848,San Jose,Albuquerque
2017/1/1,"Los Angeles, CA","Albuquerque, NM",12.60%,56,35.1054,-106.6465,34.1141,-118.4068,Los Angeles,Albuquerque
2017/1/1,"Denver, CO","Albuquerque, NM",8.50%,56,35.1054,-106.6465,39.762,-104.8758,Denver,Albuquerque
2017/1/1,"Seattle, WA","Albuquerque, NM",8.30%,56,35.1054,-106.6465,47.6211,-122.3244,Seattle,Albuquerque
2017/1/1,"Portland, OR","Albuquerque, NM",5.50%,56,35.1054,-106.6465,45.5371,-122.65,Portland,Albuquerque
2017/1/1,"Washington, DC","Albuquerque, NM",5.20%,56,35.1054,-106.6465,38.9047,-77.0163,Washington,Albuquerque
2017/1/1,"Houston, TX","Albuquerque, NM",4.50%,56,35.1054,-106.6465,29.786,-95.3885,Houston,Albuquerque
2017/1/1,"Chicago, IL","Albuquerque, NM",4.00%,56,35.1054,-106.6465,41.8375,-87.6866,Chicago,Albuquerque
2017/1/1,"San Diego, CA","Albuquerque, NM",3.30%,56,35.1054,-106.6465,32.8313,-117.1222,San Diego,Albuquerque
2017/1/1,"New York, NY","Albuquerque, NM",3.10%,56,35.1054,-106.6465,40.6943,-73.9249,New York,Albuquerque
2017/1/1,"Washington, DC","Atlanta, GA",13.00%,1506,33.7628,-84.422,38.9047,-77.0163,Washington,Atlanta
2017/1/1,"New York, NY","Atlanta, GA",10.60%,1506,33.7628,-84.422,40.6943,-73.9249,New York,Atlanta
2017/1/1,"Los Angeles, CA","Atlanta, GA",9.80%,1506,33.7628,-84.422,34.1141,-118.4068,Los Angeles,Atlanta
2017/1/1,"Chicago, IL","Atlanta, GA",8.50%,1506,33.7628,-84.422,41.8375,-87.6866,Chicago,Atlanta
2017/1/1,"San Jose, CA","Atlanta, GA",6.60%,1506,33.7628,-84.422,37.3012,-121.848,San Jose,Atlanta
2017/1/1,"Miami, FL","Atlanta, GA",5.70%,1506,33.7628,-84.422,25.784,-80.2101,Miami,Atlanta
2017/1/1,"Seattle, WA","Atlanta, GA",3.60%,1506,33.7628,-84.422,47.6211,-122.3244,Seattle,Atlanta
2017/1/1,"Boston, MA","Atlanta, GA",2.80%,1506,33.7628,-84.422,42.3188,-71.0852,Boston,Atlanta
2017/1/1,"Tampa, FL","Atlanta, GA",2.30%,1506,33.7628,-84.422,27.9945,-82.4447,Tampa,Atlanta
2017/1/1,"Philadelphia, PA","Atlanta, GA",2.30%,1506,33.7628,-84.422,40.0077,-75.1339,Philadelphia,Atlanta
2017/1/1,"San Jose, CA","Austin, TX",18.60%,1189,30.3005,-97.7522,37.3012,-121.848,San Jose,Austin
