date,city,state,netflow,lat,lon
2017/1/1,Sacramento,CA,4089,38.5677,-121.4685
2017/1/1,Phoenix,AZ,2744,33.5722,-112.0892
2017/1/1,Las Vegas,NV,2476,36.2333,-115.2654
2017/1/1,Dallas,TX,2071,32.7935,-96.7667
2017/1/1,Portland,OR,1556,45.5371,-122.65
2017/1/1,Atlanta,GA,1506,33.7628,-84.422
2017/1/1,Seattle,WA,1203,47.6211,-122.3244
2017/1/1,Miami,FL,1202,25.784,-80.2101
2017/1/1,Austin,TX,1189,30.3005,-97.7522
2017/1/1,San Diego,CA,1109,32.8313,-117.1222
2017/1/1,Tampa,FL,878,27.9945,-82.4447
2017/1/1,Raleigh,NC,866,35.8324,-78.6429
2017/1/1,San Antonio,TX,710,29.4632,-98.5238
2017/1/1,Orlando,FL,680,28.4773,-81.337
2017/1/1,Philadelphia,PA,675,40.0077,-75.1339
2017/1/1,Bellingham,WA,543,48.7548,-122.469
2017/1/1,Nashville,TN,537,36.1715,-86.7842
2017/1/1,Cape Coral,FL,528,26.6443,-81.9957
2017/1/1,Denver,CO,424,39.762,-104.8758
2017/1/1,Salinas,CA,406,36.6883,-121.6317
2017/1/1,San Luis Obispo,CA,393,35.2669,-120.669
2017/1/1,Jacksonville,FL,379,30.3322,-81.6749
2017/1/1,Fresno,CA,323,36.783,-119.7939
2017/1/1,Charlotte,NC,316,35.2083,-80.8303
2017/1/1,Salt Lake City,UT,305,40.7776,-111.9311
2017/1/1,North Port,FL,283,27.0576,-82.1977
2017/1/1,Charleston,SC,176,32.8168,-79.9687
2017/1/1,Bakersfield,CA,164,35.3529,-119.0359
2017/1/1,Urban Honolulu,HI,159,21.3294,-157.846
2017/1/1,Milwaukee,WI,116,43.0642,-87.9675
2017/1/1,Detroit,MI,75,42.3834,-83.1024
2017/1/1,Albuquerque,NM,56,35.1054,-106.6465
2017/1/1,Minneapolis,MN,35,44.9635,-93.2678
2017/1/1,Virginia Beach,VA,31,36.7335,-76.0435
2017/1/1,Albany,NY,19,42.6664,-73.7987
2017/1/1,Indianapolis,IN,-46,39.7771,-86.1458
2017/1/1,Knoxville,TN,-50,35.9692,-83.9496
2017/1/1,Boston,MA,-677,42.3188,-71.0852
2017/1/1,Houston,TX,-816,29.786,-95.3885
