date,origin,dest,pct_leavers,netflow,origin_lat,origin_lon,dest_lat,dest_lon,origin_city,dest_city
2017/1/1,"Albany, NY","Boston, MA",16.70%,19,42.6664,-73.7987,42.3188,-71.0852,Albany,Boston
2017/1/1,"Albany, NY","New York, NY",15.70%,19,42.6664,-73.7987,40.6943,-73.9249,Albany,New York
2017/1/1,"Albany, NY","Washington, DC",11.30%,19,42.6664,-73.7987,38.9047,-77.0163,Albany,Washington
2017/1/1,"Albany, NY","Seattle, WA",5.40%,19,42.6664,-73.7987,47.6211,-122.3244,Albany,Seattle
2017/1/1,"Albany, NY","San Jose, CA",4.90%,19,42.6664,-73.7987,37.3012,-121.848,Albany,San Jose
2017/1/1,"Albuquerque, NM","Los Angeles, CA",12.40%,56,35.1054,-106.6465,34.1141,-118.4068,Albuquerque,Los Angeles
2017/1/1,"Albuquerque, NM","Seattle, WA",11.70%,56,35.1054,-106.6465,47.6211,-122.3244,Albuquerque,Seattle
2017/1/1,"Albuquerque, NM","Denver, CO",8.50%,56,35.1054,-106.6465,39.762,-104.8758,Albuquerque,Denver
2017/1/1,"Albuquerque, NM","Washington, DC",7.80%,56,35.1054,-106.6465,38.9047,-77.0163,Albuquerque,Washington
2017/1/1,"Albuquerque, NM","Las Vegas, NV",7.80%,56,35.1054,-106.6465,36.2333,-115.2654,Albuquerque,Las Vegas
2017/1/1,"Albuquerque, NM","Phoenix, AZ",5.70%,56,35.1054,-106.6465,33.5722,-112.0892,Albuquerque,Phoenix
2017/1/1,"Albuquerque, NM","San Jose, CA",4.90%,56,35.1054,-106.6465,37.3012,-121.848,Albuquerque,San Jose
2017/1/1,"Albuquerque, NM","San Diego, CA",4.90%,56,35.1054,-106.6465,32.8313,-117.1222,Albuquerque,San Diego
2017/1/1,"Albuquerque, NM","Portland, OR",4.60%,56,35.1054,-106.6465,45.5371,-122.65,Albuquerque,Portland
2017/1/1,"Albuquerque, NM","Sacramento, CA",4.60%,56,35.1054,-106.6465,38.5677,-121.4685,Albuquerque,Sacramento
2017/1/1,"Atlanta, GA","Los Angeles, CA",9.00%,1506,33.7628,-84.422,34.1141,-118.4068,Atlanta,Los Angeles
2017/1/1,"Atlanta, GA","Washington, DC",7.40%,1506,33.7628,-84.422,38.9047,-77.0163,Atlanta,Washington
2017/1/1,"Atlanta, GA","Seattle, WA",7.30%,1506,33.7628,-84.422,47.6211,-122.3244,Atlanta,Seattle
2017/1/1,"Atlanta, GA","Chicago, IL",6.50%,1506,33.7628,-84.422,41.8375,-87.6866,Atlanta,Chicago
2017/1/1,"Atlanta, GA","Miami, FL",5.00%,1506,33.7628,-84.422,25.784,-80.2101,Atlanta,Miami
2017/1/1,"Atlanta, GA","Dallas, TX",4.10%,1506,33.7628,-84.422,32.7935,-96.7667,Atlanta,Dallas
2017/1/1,"Atlanta, GA","Tampa, FL",3.90%,1506,33.7628,-84.422,27.9945,-82.4447,Atlanta,Tampa
2017/1/1,"Atlanta, GA","San Jose, CA",3.30%,1506,33.7628,-84.422,37.3012,-121.848,Atlanta,San Jose
2017/1/1,"Atlanta, GA","Boston, MA",2.80%,1506,33.7628,-84.422,42.3188,-71.0852,Atlanta,Boston
2017/1/1,"Atlanta, GA","Nashville, TN",2.80%,1506,33.7628,-84.422,36.1715,-86.7842,Atlanta,Nashville
2017/1/1,"Austin, TX","San Antonio, TX",12.50%,1189,30.3005,-97.7522,29.4632,-98.5238,Austin,San Antonio
2017/1/1,"Austin, TX","Dallas, TX",11.00%,1189,30.3005,-97.7522,32.7935,-96.7667,Austin,Dallas
2017/1/1,"Austin, TX","Houston, TX",7.80%,1189,30.3005,-97.7522,29.786,-95.3885,Austin,Houston
2017/1/1,"Austin, TX","Los Angeles, CA",7.20%,1189,30.3005,-97.7522,34.1141,-118.4068,Austin,Los Angeles
2017/1/1,"Austin, TX","Seattle, WA",6.70%,1189,30.3005,-97.7522,47.6211,-122.3244,Austin,Seattle
2017/1/1,"Austin, TX","San Jose, CA",5.60%,1189,30.3005,-97.7522,37.3012,-121.848,Austin,San Jose
2017/1/1,"Austin, TX","Denver, CO",4.40%,1189,30.3005,-97.7522,39.762,-104.8758,Austin,Denver
2017/1/1,"Austin, TX","Chicago, IL",3.70%,1189,30.3005,-97.7522,41.8375,-87.6866,Austin,Chicago
2017/1/1,"Austin, TX","Portland, OR",3.20%,1189,30.3005,-97.7522,45.5371,-122.65,Austin,Portland
2017/1/1,"Austin, TX","San Diego, CA",2.70%,1189,30.3005,-97.7522,32.8313,-117.1222,Austin,San Diego
2017/1/1,"Bakersfield, CA","Los Angeles, CA",49.80%,164,35.3529,-119.0359,34.1141,-118.4068,Bakersfield,Los Angeles
2017/1/1,"Bakersfield, CA","San Diego, CA",7.00%,164,35.3529,-119.0359,32.8313,-117.1222,Bakersfield,San Diego
2017/1/1,"Bakersfield, CA","San Jose, CA",5.50%,164,35.3529,-119.0359,37.3012,-121.848,Bakersfield,San Jose
2017/1/1,"Bakersfield, CA","Las Vegas, NV",4.40%,164,35.3529,-119.0359,36.2333,-115.2654,Bakersfield,Las Vegas
2017/1/1,"Bakersfield, CA","Seattle, WA",4.10%,164,35.3529,-119.0359,47.6211,-122.3244,Bakersfield,Seattle
